Date,sp_500,algo,algo2,whale1,whale2,whale3,whale4
2013-01-16,0.000196927,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-17,0.005611301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-18,0.003391701,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-22,0.004408533,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-23,0.001505208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-24,6.68977E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-25,0.005415979,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-28,-0.001853111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-29,0.005080115,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-30,-0.003914885,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-01-31,-0.002569905,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-01,0.009952616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-04,-0.011673386,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-05,0.010309074,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-06,0.000548898,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-07,-0.001808678,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-08,0.005626083,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-11,-0.000606456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-12,0.001592703,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-13,0.000591977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-14,0.000690163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-15,-0.001046197,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-19,0.007283107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-20,-0.012559939,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-21,-0.0063431,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-22,0.008696226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-25,-0.018651074,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-26,0.006072388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-27,0.012566046,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-02-28,-0.000864869,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-01,0.002318535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-04,0.004589562,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-05,0.009475318,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-06,0.001083388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-07,0.001813166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-08,0.00446112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-11,0.003238617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-12,-0.002409049,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-13,0.001312302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-14,0.005571797,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-15,-0.001621067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-18,-0.00554088,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-19,-0.002428407,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-20,0.006652937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-21,-0.008351663,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-22,0.007123175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-25,-0.003351185,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-26,0.007724921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-27,-0.000588668,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-03-28,0.004040301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-01,-0.004493749,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-02,0.005145677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-03,-0.010658497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-04,0.004032103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-05,-0.004313453,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-08,0.006263315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-09,0.003531789,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-10,0.01204235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-11,0.003539667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-12,-0.002844825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-15,-0.023506145,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-16,0.014105438,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-17,-0.014535989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-18,-0.006746194,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-19,0.008770294,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-22,0.00464,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-23,0.01031176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-24,6.33396E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-25,0.004018522,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-26,-0.001845485,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-29,0.007134744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-04-30,0.002478765,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-01,-0.009395337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-02,0.009320289,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-03,0.010424797,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-06,0.001904173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-07,0.00520308,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-08,0.004122032,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
